query,product_id,product_title,product_brand,product_color,product,esci
full size bed,B075GT8819,"product_title ZINUS Alexis Deluxe Wood Platform Bed Frame with Headboard / Wood Slat Support / No Box Spring Needed / Easy Assembly, Rustic Pine, Full",product_brand Zinus,product_color Rustic Pine,"product_title ZINUS Alexis Deluxe Wood Platform Bed Frame with Headboard / Wood Slat Support / No Box Spring Needed / Easy Assembly, Rustic Pine, Fullproduct_brand Zinusproduct_color Rustic Pine",E
the arrival shaun tan,0545946123,product_title The Singing Bones,product_brand Arthur A. Levine Books,product_color None,product_title The Singing Bonesproduct_brand Arthur A. Levine Booksproduct_color None,S
cafe racer seat,B0713V3978,product_title TCMT Motorcycle Vintage Cafe Racer Hump Saddle Seat Fits For Honda CB Suzuki GS Yamaha XJ,product_brand TCMT,product_color Brown,product_title TCMT Motorcycle Vintage Cafe Racer Hump Saddle Seat Fits For Honda CB Suzuki GS Yamaha XJproduct_brand TCMTproduct_color Brown,E
mens foot scrub,B07C6F9FPN,product_title 3 Pcs Colossal Foot Files Kit Foot Rasp and Double-Sided Heel File Pedicure Callus Remover Stainless Steel Foot Grater for Dead Skin Professional,product_brand BTYMS,product_color 3 X Foot Files&rasp,product_title 3 Pcs Colossal Foot Files Kit Foot Rasp and Double-Sided Heel File Pedicure Callus Remover Stainless Steel Foot Grater for Dead Skin Professionalproduct_brand BTYMSproduct_color 3 X Foot Files&rasp,I
play food for store,B00TYO6WHI,"product_title Play Circle by Battat – Pantry in a Bucket – Pretend Play Food Set and Storage Container with Lid – Realistic & Durable Toy Kitchen Accessories for Kids Ages 3 and Up (79 Pieces), Multicolor",product_brand Play Circle,product_color Multicolor,"product_title Play Circle by Battat – Pantry in a Bucket – Pretend Play Food Set and Storage Container with Lid – Realistic & Durable Toy Kitchen Accessories for Kids Ages 3 and Up (79 Pieces), Multicolorproduct_brand Play Circleproduct_color Multicolor",E
get clients now c.j. hayden,0814473741,"product_title Get Clients Now!(TM): A 28-Day Marketing Program for Professionals, Consultants, and Coaches",product_brand None,product_color None,"product_title Get Clients Now!(TM): A 28-Day Marketing Program for Professionals, Consultants, and Coachesproduct_brand Noneproduct_color None",E
prime videos free for members,B019CVAKMK,product_title Paramount Network,product_brand Paramount Network,product_color None,product_title Paramount Networkproduct_brand Paramount Networkproduct_color None,E
clothing garment rack,B07MBR1V6Z,"product_title Simple Houseware Industrial Grade Z-Base Garment Rack, 400lb Load with 62"" Extra Long bar w/Clear Cover and Tube Bracket",product_brand Simple Houseware,product_color None,"product_title Simple Houseware Industrial Grade Z-Base Garment Rack, 400lb Load with 62"" Extra Long bar w/Clear Cover and Tube Bracketproduct_brand Simple Housewareproduct_color None",E
steve o book,B00DWYUGJG,"product_title Professional Idiot A Memoir by Glover, Stephen ""Steve-O"", Peisner, David [Hyperion,2012] (Paperback) Reprint Edition",product_brand None,product_color None,"product_title Professional Idiot A Memoir by Glover, Stephen ""Steve-O"", Peisner, David [Hyperion,2012] (Paperback) Reprint Editionproduct_brand Noneproduct_color None",E
1 magnetic strip without adhesive,B07YB1ZXG6,"product_title EZlifego Double Sided Tape Heavy Duty(16.5FT/5M)，Multipurpose Wall Tape Adhesive Strips Removable Mounting Tape,Reusable Strong Sticky Transparent Tape Gel Poster Carpet Tape for Paste Items,Household",product_brand EZlifego,product_color Clear,"product_title EZlifego Double Sided Tape Heavy Duty(16.5FT/5M)，Multipurpose Wall Tape Adhesive Strips Removable Mounting Tape,Reusable Strong Sticky Transparent Tape Gel Poster Carpet Tape for Paste Items,Householdproduct_brand EZlifegoproduct_color Clear",I
i wear purple for my mom lupus,B08YMSGNFD,product_title I Wear Purple For My Mom Lupus Mother Lupus Awareness T-Shirt,product_brand SLE Lupus Awareness Month Apparel & Gifts,product_color Black,product_title I Wear Purple For My Mom Lupus Mother Lupus Awareness T-Shirtproduct_brand SLE Lupus Awareness Month Apparel & Giftsproduct_color Black,E
inflatable kayak,B0047U2NPO,product_title Advanced Elements Straitedge Angler,product_brand ADVANCED ELEMENTS,product_color Yellow,product_title Advanced Elements Straitedge Anglerproduct_brand ADVANCED ELEMENTSproduct_color Yellow,E
silver signet ring women,B092DBBSJ1,"product_title Stainless Steel Classical Simple Plain Round Signet Style Pinky Wedding Statement Promise Anniversary Ring (Silver, 10)",product_brand Jude Jewelers,product_color Silver,"product_title Stainless Steel Classical Simple Plain Round Signet Style Pinky Wedding Statement Promise Anniversary Ring (Silver, 10)product_brand Jude Jewelersproduct_color Silver",S
halls plus soothing syrup center,B085YLB9BJ,"product_title Halls Halls Cherry Cough Drops - with Menthol - 180 Drops (20 sticks of 9 drops), 20 Count",product_brand Halls,product_color None,"product_title Halls Halls Cherry Cough Drops - with Menthol - 180 Drops (20 sticks of 9 drops), 20 Countproduct_brand Hallsproduct_color None",E
extenze plus male enhancing pills,B01MS461VC,"product_title Havasu NutritionL-Arginine | Endurance and Circulation Booster with Nitric Oxide, 60 Caps",product_brand HAVASU NUTRITION,product_color None,"product_title Havasu NutritionL-Arginine | Endurance and Circulation Booster with Nitric Oxide, 60 Capsproduct_brand HAVASU NUTRITIONproduct_color None",E
hayward seal assembly kit,B00170TER2,"product_title RO6G Pool Pump O-Ring Seal Repair Kit for Hayward Super Pump SP2600, 1600, 2600X Kit 3 (1-Pack)",product_brand RO6G,product_color Original version,"product_title RO6G Pool Pump O-Ring Seal Repair Kit for Hayward Super Pump SP2600, 1600, 2600X Kit 3 (1-Pack)product_brand RO6Gproduct_color Original version",S
orange placemats,B07SBX8PFR,"product_title Ruvanti Placemats for Dinning Table. 100% Cotton Woven 13x19 Inch Placemats Set of 6, Leaf Placemats / Fall Placemats, Orange & Grey Floral Farmhouse Tablemats for Christmas / Thanksgiving Dinners.",product_brand RUVANTI,product_color Grey Floral,"product_title Ruvanti Placemats for Dinning Table. 100% Cotton Woven 13x19 Inch Placemats Set of 6, Leaf Placemats / Fall Placemats, Orange & Grey Floral Farmhouse Tablemats for Christmas / Thanksgiving Dinners.product_brand RUVANTIproduct_color Grey Floral",E
pink argyle sweater,B08K75F689,product_title Cardigo Fashion Oversized Sweater for Women Cardigan Argyle Pattern Long Sleeve Sweatshirt Style Cute Top Autumn Winter,product_brand Cardigo,product_color 02 White,product_title Cardigo Fashion Oversized Sweater for Women Cardigan Argyle Pattern Long Sleeve Sweatshirt Style Cute Top Autumn Winterproduct_brand Cardigoproduct_color 02 White,E
samsung note 9 privacy screen protector tempered glass,B07TXPTDTL,"product_title Galaxy Note 9 Privacy Screen Protector Tempered Glass Film, 3D Curved Edge Case Friendly Easy Install Anti Spy/Scratch Compatible Galaxy Note 9",product_brand JDHDL,product_color Privacy clear,"product_title Galaxy Note 9 Privacy Screen Protector Tempered Glass Film, 3D Curved Edge Case Friendly Easy Install Anti Spy/Scratch Compatible Galaxy Note 9product_brand JDHDLproduct_color Privacy clear",E
chokers for women,B01N9OJ3VZ,"product_title Mudder Choker Necklace Black Choker Lace Choker Gothic Necklace for Women Girls, Black, 6 Pieces",product_brand Mudder,product_color Black,"product_title Mudder Choker Necklace Black Choker Lace Choker Gothic Necklace for Women Girls, Black, 6 Piecesproduct_brand Mudderproduct_color Black",E
father in law gifts from daughter in law,B07J67QMB4,product_title Daughter-in-law Gifts from father or mother in law t shirt,product_brand Daughter-in-law Gifts by BAR,product_color Black,product_title Daughter-in-law Gifts from father or mother in law t shirtproduct_brand Daughter-in-law Gifts by BARproduct_color Black,I
leap office chair,B01N0ZUN15,"product_title Herman Miller Aeron Ergonomic Chair - Size B, Graphite",product_brand Herman Miller,product_color Graphite,"product_title Herman Miller Aeron Ergonomic Chair - Size B, Graphiteproduct_brand Herman Millerproduct_color Graphite",E
knee guard strap,B0734X3478,product_title Achiou 2 Pack Patella Knee Strap Silicone Support Adjustable Band for Protect Patellar Pain Relief Tendon for Tendonitism Gym Running Hiking Weightlifting Basketball Volleyball Achiou 2 Pack Patella Knee Strap Silicone Support Adjustable Band for Protect Patellar Pain Relief Tendon for Tendonitism Gym Running Hiking Weightlifting Basketball Volleyball,product_brand Achiou,product_color Black/Knee strap,product_title Achiou 2 Pack Patella Knee Strap Silicone Support Adjustable Band for Protect Patellar Pain Relief Tendon for Tendonitism Gym Running Hiking Weightlifting Basketball Volleyball Achiou 2 Pack Patella Knee Strap Silicone Support Adjustable Band for Protect Patellar Pain Relief Tendon for Tendonitism Gym Running Hiking Weightlifting Basketball Volleyballproduct_brand Achiouproduct_color Black/Knee strap,E
mens sweatpants open bottom with pockets,B07P5YZN9Z,product_title MAGNIVIT Men's Sweatpants Pockets Open Bottom Athletic Warm-Up Pants Side Contrast Stripe Blue,product_brand MAGNIVIT,product_color Navy Blue,product_title MAGNIVIT Men's Sweatpants Pockets Open Bottom Athletic Warm-Up Pants Side Contrast Stripe Blueproduct_brand MAGNIVITproduct_color Navy Blue,E
wall mount floating shelves,B07NP67HVD,"product_title Mkono Floating Shelves Wood Wall Shelf Rustic Modern Shelf Set of 3 Photo Display Ledges with Invisible Bracket for Living Room Bedroom Bathroom 4"" Deep, Dark Brown",product_brand Mkono,product_color Dark Brown,"product_title Mkono Floating Shelves Wood Wall Shelf Rustic Modern Shelf Set of 3 Photo Display Ledges with Invisible Bracket for Living Room Bedroom Bathroom 4"" Deep, Dark Brownproduct_brand Mkonoproduct_color Dark Brown",E
baby girl skirt,B07JJCZGVS,"product_title Baby Girls Velvet Suspender Skirt Infant Toddler Ruffled Casual Strap Sundress Summer Outfit Clothes (12-18M, Red)",product_brand Specialcal,product_color Red,"product_title Baby Girls Velvet Suspender Skirt Infant Toddler Ruffled Casual Strap Sundress Summer Outfit Clothes (12-18M, Red)product_brand Specialcalproduct_color Red",S
saint seiya myth cloth,B00153TUIO,product_title Bandai Saint Seiya Myth God Cloth Final Pegasus Seiya,product_brand Bandai,product_color None,product_title Bandai Saint Seiya Myth God Cloth Final Pegasus Seiyaproduct_brand Bandaiproduct_color None,E
black hand fans for women,B07D7XPSCR,product_title Metable Black Silk Folded Hand Fan Bamboo Handheld Folding Fan with Gift Boxed Oriental Handmade for DIY Wall Decoration Wedding Party Favor Women Man Dancing Show Prop,product_brand Metable,product_color Black,product_title Metable Black Silk Folded Hand Fan Bamboo Handheld Folding Fan with Gift Boxed Oriental Handmade for DIY Wall Decoration Wedding Party Favor Women Man Dancing Show Propproduct_brand Metableproduct_color Black,E
india to usa converter,B081Y6J4TP,"product_title US Plug Adapter, European to USA Adapter, Unidapt Small European to American Outlet Plug Adapter, EU to US Adapter, Universal Input Europe/Asia to USA/Canada Travel Power Plug Adapter (1-Pack, White)",product_brand Unidapt,product_color White,"product_title US Plug Adapter, European to USA Adapter, Unidapt Small European to American Outlet Plug Adapter, EU to US Adapter, Universal Input Europe/Asia to USA/Canada Travel Power Plug Adapter (1-Pack, White)product_brand Unidaptproduct_color White",S
salmon clutch,B01MZYOWPU,product_title Aitbags Mini Soft PU Leather Wristlet Clutch Crossbody Bag with Chain Strap Cell Phone Purse,product_brand Aitbags,product_color Red,product_title Aitbags Mini Soft PU Leather Wristlet Clutch Crossbody Bag with Chain Strap Cell Phone Purseproduct_brand Aitbagsproduct_color Red,S
airpods baseball case,B07SR1TZKQ,"product_title Njjex AirPods Case, AirPods PU Leather Hard Case, Portable Protective Shockproof Earphone Accessories Cover w/Carabiner/Keychain Compatible for Apple AirPods 1/ Airpods 2 Charging Case [Baseball]",product_brand NJJEX,product_color Baseball,"product_title Njjex AirPods Case, AirPods PU Leather Hard Case, Portable Protective Shockproof Earphone Accessories Cover w/Carabiner/Keychain Compatible for Apple AirPods 1/ Airpods 2 Charging Case [Baseball]product_brand NJJEXproduct_color Baseball",E
fish filet knife,B00987L3O8,"product_title Bubba 7 Inch Tapered Flex Fillet Fishing Knife with Non-Slip Grip Handle, Full Tang Stainless Steel Non-Stick Blade, Lanyard Hole and Synthetic Sheath for Fishing, Boating and Hunting",product_brand Bubba,product_color Red-Gray,"product_title Bubba 7 Inch Tapered Flex Fillet Fishing Knife with Non-Slip Grip Handle, Full Tang Stainless Steel Non-Stick Blade, Lanyard Hole and Synthetic Sheath for Fishing, Boating and Huntingproduct_brand Bubbaproduct_color Red-Gray",E
ted baker aviator glasses,B07DTM1QZZ,"product_title Ray-Ban RB3016 Clubmaster Sunglasses (49 mm, Solid Polarized Lens)",product_brand Ray-Ban,product_color Solid Polarized Lens,"product_title Ray-Ban RB3016 Clubmaster Sunglasses (49 mm, Solid Polarized Lens)product_brand Ray-Banproduct_color Solid Polarized Lens",E
arcade shooter,B07DCQYJTJ,"product_title Loaded Spring Rod,Ball Shooter for Arcade Pinball Machine Parts,Game Machine Accessory",product_brand arcadegamegz,product_color None,"product_title Loaded Spring Rod,Ball Shooter for Arcade Pinball Machine Parts,Game Machine Accessoryproduct_brand arcadegamegzproduct_color None",S
ribbed square neck bikini,B08TQ82XR8,product_title SweatyRocks Women's Sexy Bathing Suits Square Neck Padded Thong Bikini Set Swimsuit Light Blue Small,product_brand SweatyRocks,product_color Light Blue,product_title SweatyRocks Women's Sexy Bathing Suits Square Neck Padded Thong Bikini Set Swimsuit Light Blue Smallproduct_brand SweatyRocksproduct_color Light Blue,E
johnson combination square,B00002NBKJ,"product_title Johnson Level & Tool 406EM Professional Inch/Metric Combination Square, 6"", Silver, 1 Square",product_brand Johnson Level & Tool,product_color None,"product_title Johnson Level & Tool 406EM Professional Inch/Metric Combination Square, 6"", Silver, 1 Squareproduct_brand Johnson Level & Toolproduct_color None",E
diamond earrings for women,B078H9YRLW,product_title AMBESTEE Women 925 Pure Sterling Sliver Square Cut Crystal Cubic Inlay Zirconia Rhinestones Studs Earrings Set,product_brand AMBESTEE,product_color None,product_title AMBESTEE Women 925 Pure Sterling Sliver Square Cut Crystal Cubic Inlay Zirconia Rhinestones Studs Earrings Setproduct_brand AMBESTEEproduct_color None,E
kinky lingerie for women,B072JXYGL7,product_title Avidlove Women Lace Lingerie Chemise Sexy Sleepwear Babydoll Mini Full Slips Dress Nighty Gray Medium,product_brand Avidlove,product_color Gray,product_title Avidlove Women Lace Lingerie Chemise Sexy Sleepwear Babydoll Mini Full Slips Dress Nighty Gray Mediumproduct_brand Avidloveproduct_color Gray,E
wireless charger,B08FXHHWVB,"product_title Wireless Charger Magic Qi 10W Wireless Charging Pad,7.5W Compatible with iPhone 11/11 Pro/11 Pro Max/Xs Max/XR/XS/X/8/8 Plus,10W Fast Charging S10/S10+/S9/S8/Note 10/10+/9/8 Green (No AC Adapter)",product_brand Olahomo,product_color Green,"product_title Wireless Charger Magic Qi 10W Wireless Charging Pad,7.5W Compatible with iPhone 11/11 Pro/11 Pro Max/Xs Max/XR/XS/X/8/8 Plus,10W Fast Charging S10/S10+/S9/S8/Note 10/10+/9/8 Green (No AC Adapter)product_brand Olahomoproduct_color Green",E
mens cotton elvis tees,B07TKVNDQ2,product_title GUOAIMEIG Men's Elvis Costello This Year's Model Black Cotton T Shirt/Tee Medium,product_brand GUOAIMEIG,product_color As Shown,product_title GUOAIMEIG Men's Elvis Costello This Year's Model Black Cotton T Shirt/Tee Mediumproduct_brand GUOAIMEIGproduct_color As Shown,E
halloween pajamas for toddlers 3t girl,B07H4YCM2Y,"product_title Simple Joys by Carter's Girls' Toddler 6-Piece Snug Fit Cotton Pajama Set, flamingo/strawberries/Llama, 5T",product_brand Simple Joys by Carter's,"product_color Pink/Navy,flamingo/Strawberry/Llama","product_title Simple Joys by Carter's Girls' Toddler 6-Piece Snug Fit Cotton Pajama Set, flamingo/strawberries/Llama, 5Tproduct_brand Simple Joys by Carter'sproduct_color Pink/Navy,flamingo/Strawberry/Llama",S
black disposable towels,B07P887WD8,"product_title LINEN FEEL DISPOSABLE MONOGRAMMED BATHROOM HAND TOWEL | European Made | Initial “K” | 24 pc | for Dinners, Wedding, Events and More (Ivory/Gold)",product_brand Silver Spoons,product_color K,"product_title LINEN FEEL DISPOSABLE MONOGRAMMED BATHROOM HAND TOWEL | European Made | Initial “K” | 24 pc | for Dinners, Wedding, Events and More (Ivory/Gold)product_brand Silver Spoonsproduct_color K",S
kitchen,B01LTI987W,product_title Softsoap Antibacterial Hand Soap Kitchen Fresh Hands Pack of 6,product_brand Softsoap,product_color Kitchen Fresh Hands,product_title Softsoap Antibacterial Hand Soap Kitchen Fresh Hands Pack of 6product_brand Softsoapproduct_color Kitchen Fresh Hands,E
shell gas patch,B00NRZO1P0,product_title Shell Oil Gasoline Gas Station Car Racing Biker Logo Jacket Patch Sew Iron on Embroidered Symbol Badge Cloth Sign bY PRINYA SHOP,product_brand Poom patches,product_color black,product_title Shell Oil Gasoline Gas Station Car Racing Biker Logo Jacket Patch Sew Iron on Embroidered Symbol Badge Cloth Sign bY PRINYA SHOPproduct_brand Poom patchesproduct_color black,E
party dresses for women sexy,B07K574FT5,product_title GOBLES Women's Long Sleeve Elegant Sexy Bodycon Ruched Mini Cocktail Dress Black,product_brand GOBLES,product_color Black,product_title GOBLES Women's Long Sleeve Elegant Sexy Bodycon Ruched Mini Cocktail Dress Blackproduct_brand GOBLESproduct_color Black,E
single subject spiral notebook,B00P9U2EIM,"product_title Mead Spiral Notebooks, 1 Subject, Wide Ruled Paper, 70 Sheets, Colored Note Books, Lined Paper, Home School Supplies for College Students & K-12, 10-1/2"" x 7-1/2"" Assorted Colors, 6 Pack (73063)",product_brand Mead,product_color Assorted,"product_title Mead Spiral Notebooks, 1 Subject, Wide Ruled Paper, 70 Sheets, Colored Note Books, Lined Paper, Home School Supplies for College Students & K-12, 10-1/2"" x 7-1/2"" Assorted Colors, 6 Pack (73063)product_brand Meadproduct_color Assorted",E
teton backpack,B006JYHFJA,"product_title TETON Sports TrailRunner 2 Hydration Pack; 2-Liter Hydration Backpack with Water Bladder; for Backpacking, Hiking, Running, Cycling, and Climbing (Black)",product_brand TETON Sports,product_color Black,"product_title TETON Sports TrailRunner 2 Hydration Pack; 2-Liter Hydration Backpack with Water Bladder; for Backpacking, Hiking, Running, Cycling, and Climbing (Black)product_brand TETON Sportsproduct_color Black",E
paper food cup with lid,B07VCTZL1V,"product_title [50 Pack] 12 oz Kraft Compostable Paper Food Cup with Vented Lid - Brown Rolled Rim Storage Bucket, Hot or Cold Dish To Go Packaging, Ramen Soup Stews Salad Frozen Dessert Yogurt Ice Cream Container",product_brand Fit Meal Prep,product_color Kraft Brown,"product_title [50 Pack] 12 oz Kraft Compostable Paper Food Cup with Vented Lid - Brown Rolled Rim Storage Bucket, Hot or Cold Dish To Go Packaging, Ramen Soup Stews Salad Frozen Dessert Yogurt Ice Cream Containerproduct_brand Fit Meal Prepproduct_color Kraft Brown",E
boyslego sets,B07Q2WRZ4T,product_title LEGO Harry Potter and The Prisoner of Azkaban Knight Bus 75957 Building Kit (403 Pieces),product_brand LEGO,product_color Multicolor,product_title LEGO Harry Potter and The Prisoner of Azkaban Knight Bus 75957 Building Kit (403 Pieces)product_brand LEGOproduct_color Multicolor,E
bluetooth speaker classroom,B01IEIRFAW,"product_title SHAVA Night Light Bluetooth Speaker, Portable Wireless Bluetooth Speakers, Bedside Lamp, Touch Control Color LED Speaker, Table Light, Speakerphone/TF Card/AUX-in Supported for Car, Home, Outdoor",product_brand SHAVA,product_color White,"product_title SHAVA Night Light Bluetooth Speaker, Portable Wireless Bluetooth Speakers, Bedside Lamp, Touch Control Color LED Speaker, Table Light, Speakerphone/TF Card/AUX-in Supported for Car, Home, Outdoorproduct_brand SHAVAproduct_color White",E
100 human hair without the track,B0928KZYZ1,"product_title Lace Front Wigs Human Hair for Black Women Pre Plucked Hairline with Baby Hair 150% Denisty Brazilian Body Wave Wigs Natural Color (18 inch, 4x4 Body Wave)",product_brand Drosuud,product_color 4x4 Body Wave,"product_title Lace Front Wigs Human Hair for Black Women Pre Plucked Hairline with Baby Hair 150% Denisty Brazilian Body Wave Wigs Natural Color (18 inch, 4x4 Body Wave)product_brand Drosuudproduct_color 4x4 Body Wave",E
multi zone receiver,B099K567HW,"product_title Technical Pro 6000 Watts 6 Zone Digital Bluetooth Hybrid Amplifier Preamp Tuner w/Speaker USB, SD Card Output, 2 Mic Inputs, Bass & Treble Controls, Cooling Speed Fan & LCD Display",product_brand Technical Pro,product_color Black,"product_title Technical Pro 6000 Watts 6 Zone Digital Bluetooth Hybrid Amplifier Preamp Tuner w/Speaker USB, SD Card Output, 2 Mic Inputs, Bass & Treble Controls, Cooling Speed Fan & LCD Displayproduct_brand Technical Proproduct_color Black",E
34 watt led,B00U9382YE,"product_title HERO-LED BTG6-24T-DW Back Pin Tower GY6.35 Low Voltage 12V LED Halogen Replacement Bulb, 3.5W, 30-35W Equal, Daylight White 5000K, 5-Pack(Not Dimmable)",product_brand HERO-LED,product_color Daylight White 5000K,"product_title HERO-LED BTG6-24T-DW Back Pin Tower GY6.35 Low Voltage 12V LED Halogen Replacement Bulb, 3.5W, 30-35W Equal, Daylight White 5000K, 5-Pack(Not Dimmable)product_brand HERO-LEDproduct_color Daylight White 5000K",S
cleansmart,B0753KMW66,product_title Care Touch CPAP Mask Cleaning Wipes - Unscented | 2 Packs of 70 Unscented Cleaning Wipes for CPAP Masks (140 Total) | Made in The USA,product_brand Care Touch,product_color White,product_title Care Touch CPAP Mask Cleaning Wipes - Unscented | 2 Packs of 70 Unscented Cleaning Wipes for CPAP Masks (140 Total) | Made in The USAproduct_brand Care Touchproduct_color White,S
otterbox defender samsung a50 with belt clip,B08421J9CB,product_title OtterBox Defender Series SCREENLESS Edition Case for Samsung Galaxy A50 with Belt Clip fits OtterBox - Pink Purple,product_brand OtterBox LNS,product_color Pink,product_title OtterBox Defender Series SCREENLESS Edition Case for Samsung Galaxy A50 with Belt Clip fits OtterBox - Pink Purpleproduct_brand OtterBox LNSproduct_color Pink,E
tick colors for dogs,B004QMX4RY,"product_title K9 Advantix II Flea and Tick Prevention for Medium Dogs 4-Pack, 11-20 Pounds",product_brand K9 advantix,product_color None,"product_title K9 Advantix II Flea and Tick Prevention for Medium Dogs 4-Pack, 11-20 Poundsproduct_brand K9 advantixproduct_color None",S
erythritol,B078FWL2N1,"product_title WHOLE EARTH Stevia & Monk Fruit Plant-based Sweetener, 400 Packets",product_brand Whole Earth Sweetener Co.,product_color Stevia & Monk Fruit,"product_title WHOLE EARTH Stevia & Monk Fruit Plant-based Sweetener, 400 Packetsproduct_brand Whole Earth Sweetener Co.product_color Stevia & Monk Fruit",E
flexzilla garden hose,B0781Z3J6B,"product_title Flexzilla Garden Hose, 3/4 in. x 100 ft., Heavy Duty, Lightweight, Drinking Water Safe - HFZG6100YW",product_brand Flexzilla,product_color ZillaGreen,"product_title Flexzilla Garden Hose, 3/4 in. x 100 ft., Heavy Duty, Lightweight, Drinking Water Safe - HFZG6100YWproduct_brand Flexzillaproduct_color ZillaGreen",E
keto diet plan beginners connor,B07HGDWFTS,product_title The Science Of Intermittent Fasting: The Complete Guide To Unlocking Your Weight Loss Potential (Intermittent Fasting for Beginners Book 2),product_brand None,product_color None,product_title The Science Of Intermittent Fasting: The Complete Guide To Unlocking Your Weight Loss Potential (Intermittent Fasting for Beginners Book 2)product_brand Noneproduct_color None,S
outdoor bbq storage,B00HQE1QT2,"product_title Buddeez 03701B Original Kingsford Charcoal Kaddy, 32QT, Black",product_brand Buddeez,product_color Black,"product_title Buddeez 03701B Original Kingsford Charcoal Kaddy, 32QT, Blackproduct_brand Buddeezproduct_color Black",S
qia granola,B00860XEIG,"product_title Nature's Path Qi'a Superfood Organic Gluten Free Chia, Cranberry Vanilla, 7.9 Oz Pouch",product_brand Qia,product_color None,"product_title Nature's Path Qi'a Superfood Organic Gluten Free Chia, Cranberry Vanilla, 7.9 Oz Pouchproduct_brand Qiaproduct_color None",E
